userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_1234567890,Reflective,Main,5.056933,2.859728,-35.37769,44.65216,-14.88837,-35.39439,44.21057,-14.55875,-35.07486,44.20465,-14.95078,0.939185,69.68974,354.7663,0.9390001,69.69,-5.234,330.4333,22.66591,3.928531,-29.567,22.666,3.929,327.5881,73.98357,358.346,-32.412,73.984,-1.654,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,5.192454,2.911475,-35.33907,44.64845,-14.85447,-35.32775,44.20631,-14.52647,-35.05414,44.20854,-14.93769,0.9183785,73.74335,354.3999,0.918,73.743,-5.6,331.1386,28.21222,3.778815,-28.861,28.212,3.779,324.9258,76.58251,1.977408,-35.074,76.582,1.977,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,5.323159,2.964599,-35.2919,44.64219,-14.83135,-35.25705,44.20297,-14.50659,-35.0235,44.20088,-14.92381,1.745325,75.84381,354.4671,1.745,75.844,-5.533,331.6846,33.89753,3.189369,-28.315,33.898,3.189,324.6224,78.22221,3.346413,-35.378,78.222,3.346,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,5.453867,3.032238,-35.22774,44.63173,-14.81288,-35.17818,44.20376,-14.49078,-34.97661,44.18669,-14.90781,1.883329,77.5424,353.6886,1.883,77.54201,-6.311,330.5711,38.59716,2.524859,-29.429,38.597,2.525,325.1968,79.06929,3.970637,-34.803,79.069,3.971,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,5.59067,3.111551,-35.15013,44.62499,-14.79821,-35.08697,44.2022,-14.47361,-34.91179,44.1751,-14.89183,1.651029,79.81747,353.0269,1.651,79.817,-6.973001,330.1588,40.87681,3.230622,-29.841,40.877,3.231,326.0745,79.5155,4.256271,-33.926,79.51501,4.256,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,5.721185,3.197474,-35.06513,44.62665,-14.78648,-34.98965,44.20527,-14.46086,-34.83571,44.17029,-14.87834,2.063034,81.23051,352.9482,2.063,81.231,-7.052001,329.5475,42.72234,3.607537,-30.453,42.722,3.608,325.405,79.94723,5.764191,-34.595,79.94701,5.764,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,5.854721,3.263922,-34.99905,44.62959,-14.78071,-34.90084,44.21286,-14.45695,-34.77138,44.17678,-14.87118,3.242705,82.25138,353.4805,3.243,82.25101,-6.52,330.2481,44.35316,4.681565,-29.752,44.353,4.682,325.8337,81.39771,3.777618,-34.166,81.398,3.778,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,5.979874,3.319508,-34.94372,44.62606,-14.77703,-34.83665,44.21942,-14.46523,-34.72903,44.17802,-14.86588,6.056959,83.28499,353.5144,6.057,83.285,-6.486001,328.9013,47.08174,4.586826,-31.099,47.082,4.587,324.8612,79.09245,6.940732,-35.139,79.092,6.941,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,6.117608,3.370982,-34.89228,44.62508,-14.77556,-34.776,44.2203,-14.47214,-34.69053,44.17565,-14.86842,7.419649,84.47303,353.7137,7.420001,84.47301,-6.286,329.3111,50.22265,3.660728,-30.689,50.223,3.661,325.9973,78.885,7.702233,-34.003,78.885,7.702,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,6.243895,3.415877,-34.84757,44.62121,-14.77518,-34.72345,44.22107,-14.47354,-34.65877,44.173,-14.87403,9.54674,85.42337,353.8437,9.547001,85.423,-6.156,329.6698,51.79719,3.371443,-30.33,51.797,3.371,326.5893,79.08834,8.844197,-33.411,79.08801,8.844001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
