userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.61222,Far,-28.057,44.482,-5.3419,6.031907,8.12809,8.241231,-33.15844,44.29146,-15.77179,-33.85567,43.14921,-14.3931,-33.27984,43.84758,-15.87857,357.9147,112.9458,354.7778,-2.085,112.946,-5.222,0,0,0,0,0,0,353.469,121.6107,7.157239,-6.531,121.611,7.157001,-33.85567,43.14921,-14.3931,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.48928,Far,-28.057,44.482,-5.3419,6.172353,8.437181,8.55033,-32.84958,44.29198,-15.78214,-33.54681,43.14922,-14.40294,-32.97078,43.84678,-15.88806,357.8884,112.7943,354.7086,-2.112,112.794,-5.291,0,0,0,0,0,0,353.5778,121.317,7.11906,-6.422,121.317,7.119,-33.54681,43.14922,-14.40294,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.37645,Far,-28.057,44.482,-5.3419,6.311036,8.730316,8.84337,-32.55669,44.29226,-15.78893,-33.2538,43.14921,-14.40891,-32.67708,43.84745,-15.89488,357.8334,112.8154,354.6062,-2.167,112.815,-5.394,0,0,0,0,0,0,353.388,121.3087,7.133468,-6.612,121.309,7.133,-33.2538,43.14921,-14.40891,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.24173,Far,-28.057,44.482,-5.3419,6.433788,9.03164,9.144548,-32.2563,44.29251,-15.76814,-32.95327,43.14921,-14.38809,-32.37603,43.84818,-15.87416,357.8477,112.8046,354.6286,-2.152,112.805,-5.371,0,0,0,0,0,0,353.4164,121.5219,6.29838,-6.584,121.522,6.298,-32.95327,43.14921,-14.38809,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.11498,Far,-28.057,44.482,-5.3419,6.566391,9.332803,9.445901,-31.95584,44.29282,-15.74892,-32.65296,43.14921,-14.36972,-32.07647,43.84956,-15.85489,357.8315,112.9294,354.6757,-2.168,112.929,-5.324,0,0,0,0,0,0,352.7637,121.2188,5.998239,-7.236001,121.219,5.998,-32.65296,43.14921,-14.36972,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.01705,Far,-28.057,44.482,-5.3419,6.735233,9.688694,9.802435,-31.60082,44.29303,-15.77172,-32.29871,43.14922,-14.39473,-31.72111,43.84982,-15.87754,357.8088,112.899,354.7449,-2.191,112.899,-5.255,0,0,0,0,0,0,352.9284,121.0123,7.595066,-7.072001,121.012,7.595,-32.29871,43.14922,-14.39473,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.90671,Far,-28.057,44.482,-5.3419,6.897797,10.05882,10.17364,-31.22972,44.293,-15.77524,-31.9287,43.14921,-14.40067,-31.34975,43.84937,-15.88139,357.8419,112.7587,354.8928,-2.158,112.759,-5.107,0,0,0,0,0,0,353.3629,121.1316,8.024781,-6.637,121.132,8.025001,-31.9287,43.14921,-14.40067,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.79777,Far,-28.057,44.482,-5.3419,7.06518,10.44252,10.5587,-30.84521,44.29216,-15.77175,-31.54557,43.14922,-14.39821,-30.96546,43.84792,-15.87797,358.0707,112.8077,354.8789,-1.929,112.808,-5.121,0,0,0,0,0,0,353.8633,121.5721,8.343967,-6.137,121.572,8.344001,-31.54557,43.14922,-14.39821,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.68895,Far,-28.057,44.482,-5.3419,7.202443,10.75063,10.86738,-30.53855,44.29244,-15.73707,-31.23941,43.14921,-14.36421,-30.65924,43.84828,-15.84327,357.9888,112.693,354.912,-2.011,112.693,-5.088,0,0,0,0,0,0,353.5944,121.5671,7.818202,-6.406,121.567,7.818,-31.23941,43.14921,-14.36421,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.63724,Far,-28.057,44.482,-5.3419,7.378113,10.88945,11.00666,-30.40176,44.29231,-15.71577,-31.10231,43.14921,-14.3425,-30.52087,43.85376,-15.82044,358.1148,112.8053,354.93,-1.885,112.805,-5.07,0,0,0,0,0,0,351.8674,121.2572,5.646084,-8.133,121.257,5.646,-31.10231,43.14921,-14.3425,0,0,0,0,0,0,,,
