userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.21204,Far,-28.057,44.482,-5.3419,4.881729,0.3437901,58.86166,-34.58874,44.15826,-15.65526,-34.49412,43.75968,-15.80299,-34.57642,43.7623,-15.82564,339.1793,102.3218,1.360299,-20.821,102.322,1.36,345.3595,208.6071,342.8341,-14.64,-151.393,-17.166,345.2138,212.3066,341.1208,-14.786,-147.693,-18.879,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.22669,Far,-28.057,44.482,-5.3419,5.044432,0.3437901,58.88963,-34.57756,44.14962,-15.67939,-34.4941,43.75953,-15.8032,-34.57722,43.76195,-15.82633,341.2935,104.1614,359.7073,-18.707,104.161,-0.293,345.36,208.5934,342.8456,-14.64,-151.407,-17.154,345.233,212.292,341.1251,-14.767,-147.708,-18.875,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23686,Far,-28.057,44.482,-5.3419,5.177935,0.3437901,58.91531,-34.56446,44.14035,-15.69937,-34.4944,43.75957,-15.80337,-34.57779,43.76183,-15.82663,343.2334,105.56,358.495,-16.767,105.56,-1.505,345.372,208.6028,342.8449,-14.628,-151.397,-17.155,345.2388,212.2991,341.1129,-14.761,-147.701,-18.887,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.2426,Far,-28.057,44.482,-5.3419,5.316258,0.3437901,58.93822,-34.5505,44.13054,-15.71457,-34.49445,43.75946,-15.8035,-34.57675,43.76237,-15.82587,345.1436,106.6381,357.6429,-14.856,106.638,-2.357,345.3672,208.6001,342.842,-14.633,-151.4,-17.158,345.2352,212.285,341.1136,-14.765,-147.715,-18.886,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24582,Far,-28.057,44.482,-5.3419,5.456873,0.3437901,58.96146,-34.53468,44.11998,-15.72789,-34.49435,43.75962,-15.80342,-34.57732,43.76207,-15.82652,347.1687,107.0468,356.6732,-12.831,107.047,-3.327,345.3768,208.5999,342.8452,-14.623,-151.4,-17.155,345.2466,212.2823,341.1113,-14.753,-147.718,-18.889,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24687,Far,-28.057,44.482,-5.3419,5.59159,0.3437901,58.97948,-34.52147,44.11192,-15.73707,-34.49439,43.75948,-15.8034,-34.57721,43.76211,-15.82627,348.5357,107.1328,356.1833,-11.464,107.133,-3.817,345.3672,208.6052,342.8401,-14.633,-151.395,-17.16,345.2354,212.276,341.1047,-14.765,-147.724,-18.895,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24732,Far,-28.057,44.482,-5.3419,5.729702,0.3437901,58.993,-34.51111,44.10649,-15.74384,-34.49417,43.75935,-15.80345,-34.57573,43.76273,-15.82541,349.4823,107.1007,355.7013,-10.518,107.101,-4.299,345.3717,208.6071,342.8414,-14.628,-151.393,-17.159,345.2263,212.2652,341.11,-14.774,-147.735,-18.89,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24716,Far,-28.057,44.482,-5.3419,5.863335,0.3437901,59.00037,-34.50521,44.10376,-15.74721,-34.49443,43.75961,-15.80339,-34.57545,43.763,-15.82511,349.8819,106.9865,355.712,-10.118,106.987,-4.288,345.3682,208.6077,342.8246,-14.632,-151.392,-17.175,345.2264,212.25,341.093,-14.774,-147.75,-18.907,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24686,Far,-28.057,44.482,-5.3419,5.996514,0.3437901,59.00351,-34.50281,44.10221,-15.74829,-34.49451,43.75942,-15.80359,-34.57447,43.76339,-15.82434,350.0605,106.9829,355.5255,-9.939,106.983,-4.475,345.3633,208.6148,342.8352,-14.637,-151.385,-17.165,345.2203,212.2384,341.1017,-14.78,-147.762,-18.898,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24651,Far,-28.057,44.482,-5.3419,6.127632,0.3437901,59.00605,-34.50425,44.10337,-15.74703,-34.49406,43.7597,-15.8031,-34.57434,43.76351,-15.82419,349.9601,106.9672,355.663,-10.04,106.967,-4.337,345.3467,208.6206,342.8231,-14.653,-151.379,-17.177,345.2185,212.2294,341.094,-14.782,-147.771,-18.906,-35.16,43.14921,-14.369,0,0,0,0,0,0
