userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportPositionStep.x,TeleportPositionStep.y,TeleportPositionStep.z
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.757505,Far,-28.661,44.641,-5.3419,11.86493,9.734997,-25.7587,44.26492,-14.65018,-25.66058,44.0364,-14.8496,-25.70072,44.08046,-14.96864,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.757359,Far,-28.661,44.641,-5.3419,12.02296,9.734997,-25.7611,44.26643,-14.65084,-25.65239,44.0403,-14.84505,-25.68408,44.08442,-14.96254,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.756657,Far,-28.661,44.641,-5.3419,12.1697,9.734997,-25.75936,44.26659,-14.64956,-25.64791,44.04069,-14.84379,-25.67457,44.08487,-14.96061,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.75819,Far,-28.661,44.641,-5.3419,12.33803,9.734997,-25.75519,44.26531,-14.64982,-25.64728,44.04139,-14.84371,-25.67003,44.08532,-14.95879,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.762496,Far,-28.661,44.641,-5.3419,12.49719,9.734997,-25.75296,44.26311,-14.65355,-25.64903,44.04119,-14.84578,-25.67137,44.08545,-14.95996,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.765955,Far,-28.661,44.641,-5.3419,12.62631,9.734997,-25.75295,44.26155,-14.65711,-25.65022,44.0418,-14.84507,-25.67214,44.08402,-14.96035,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.766549,Far,-28.661,44.641,-5.3419,12.75472,9.734997,-25.75286,44.26109,-14.65769,-25.6496,44.04276,-14.84353,-25.67077,44.08625,-14.95827,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.767263,Far,-28.661,44.641,-5.3419,12.88757,9.734997,-25.75375,44.26061,-14.65869,-25.64915,44.04432,-14.84202,-25.6693,44.08719,-14.95678,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.767296,Far,-28.661,44.641,-5.3419,13.03005,9.734997,-25.7553,44.26022,-14.65919,-25.65162,44.04449,-14.84211,-25.6704,44.08748,-14.95596,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.773341,Far,-28.661,44.641,-5.3419,13.19579,9.734997,-25.75896,44.25872,-14.66661,-25.66571,44.04509,-14.84773,-25.68723,44.08558,-14.95872,0,0,0
